concept,links,dep_articles
Minimum wage,"[(668, 'Remuneration', 2, 3), (732, 'Price floor', 2, 3), (792, 'List of countries by minimum wage', 2, 3), (917, 'Cost of labor', 2, 3), (988, 'Gig worker', 2, 3), (1077, 'Automation', 2, 3), (1205, 'Sweatshop', 3, 4), (1533, 'Minimum wage law', 3, 4), (1673, 'Supply and demand', 4, 6), (1836, 'Monopsony', 4, 6), (2009, 'Standard of living', 4, 6), (2040, 'Poverty reduction', 4, 6), (2171, 'Unemployment', 4, 6)]","['Remuneration', 'Price floor', 'Cost of labor', 'Gig worker', 'Automation']"
Monomial,"[(3, 'Mathematics', 0, 0), (51, 'Polynomial', 0, 0), (81, 'Summand', 0, 0), (1858, 'Laurent polynomial', 2, 1), (1882, 'Laurent series', 2, 1), (1965, 'Puiseux series', 2, 1), (2002, 'Rational number', 2, 1), (2151, 'Prefix', 3, 2), (2254, 'Syncope (phonetics)', 3, 2), (2265, 'Haplology', 3, 2)]","['Polynomial', 'Summand']"
Mutual exclusivity,"[(721, 'Logic', 1, 2), (731, 'Probability theory', 1, 2), (1037, 'Collectively exhaustive events', 2, 3), (1319, 'Six-sided die', 2, 3)]","['Logic', 'Probability theory']"
Natural logarithm,"[(1351, 'Logarithm', 3, 5), (1397, 'Base (exponentiation)', 3, 5), (1409, 'Mathematical constant', 3, 5), (1446, 'Irrational number', 3, 5), (1461, 'Transcendental number', 3, 5), (1649, 'Parentheses', 3, 5), (1875, 'Exponentiation', 4, 13), (2158, 'Real number', 5, 3), (2179, 'Integral', 5, 3), (2536, 'Complex number', 5, 3), (2578, 'Multi-valued function', 5, 3), (2605, 'Complex logarithm', 5, 3), (2684, 'Real-valued function', 6, 0), (2741, 'Inverse function', 6, 0), (2765, 'Exponential function', 6, 0), (3815, 'Half-life', 11, 3), (3861, 'Exponential decay', 11, 3), (4010, 'Compound interest', 11, 3)]","['Logarithm', 'Base (exponentiation)', 'Mathematical constant', 'Irrational number', 'Transcendental number']"
Natural number,"[(4, 'Mathematics', 1, 0), (29, 'Number', 1, 0), (450, 'Number (sports)', 1, 4), (514, 'ISO/IEC 80000', 2, 7), (972, 'Set (mathematics)', 3, 3), (988, 'Number set', 3, 3), (1068, 'Integer', 3, 3), (1094, 'Additive identity', 3, 3), (1137, 'Additive inverse', 3, 3), (1196, 'Rational number', 3, 3), (1229, 'Multiplicative inverse', 3, 3), (1373, 'Real number', 3, 3), (1403, 'Limit (mathematics)', 3, 3), (1426, 'Construction of the real numbers#Construction from Cauchy sequences', 3, 3), (1461, 'Complex number', 3, 3), (1513, 'Imaginary unit', 3, 3), (1627, 'Embedding', 3, 3), (1726, 'Divisibility', 4, 2), (1763, 'Prime number', 4, 2), (1793, 'Number theory', 4, 2), (1859, 'Partition (number theory)', 4, 2), (1876, 'Enumerative combinatorics', 4, 2), (1905, 'Combinatorics', 4, 2), (2112, 'Discrete mathematics', 5, 1), (2012, 'Counting', 5, 1), (2144, 'List of continuity-related mathematical topics', 5, 1), (2158, 'Measurement', 5, 1), (2199, 'Real number', 5, 1)]",['Number']
Newton's law of cooling,"[(16, 'Heat transfer', 0, 0), (60, 'Physical law', 0, 0), (289, 'Temperature gradient', 2, 1), (431, 'Heat transfer coefficient', 2, 2), (541, 'Thermal conduction', 3, 2), (613, 'Thermal conduction#Fourier.27s law', 3, 3), (633, 'Thermal conductivity', 3, 3), (786, 'Convection (heat transfer)', 3, 4), (1118, 'Thermal radiation', 3, 4), (1335, 'Biot number', 4, 3), (1377, 'Heat capacity', 4, 3), (1412, 'Differential equation', 4, 3), (1473, 'Function of time', 4, 3)]","['Heat transfer', 'Physical law']"
North Korea,"[(1711, 'East Asia', 2, 6), (1762, 'Korea', 2, 6), (1803, 'China', 2, 6), (1813, 'Russia', 2, 6), (1741, 'North', 2, 6), (1840, 'Yalu River', 2, 6), (1857, 'Tumen River', 2, 6), (1875, 'South Korea', 2, 6), (1894, 'South', 2, 6), (1907, 'Korean Demilitarized Zone', 2, 6), (2101, 'Yellow Sea', 2, 6), (2156, 'Sea of Japan', 2, 6), (2188, 'South Korea', 2, 6), (2281, 'List of islands of North Korea', 2, 6), (2299, 'Pyongyang', 2, 6), (2351, 'Korean Empire', 3, 5), (2361, 'Korea under Japanese rule', 3, 5), (2376, 'Empire of Japan', 3, 5), (2412, 'Surrender of Japan', 3, 5), (2438, 'End of World War II in Asia', 3, 5), (2469, 'Division of Korea', 3, 5), (2502, '38th parallel north', 3, 5), (2526, 'Soviet Civil Administration', 3, 5), (2569, 'United States Army Military Government in Korea', 3, 5), (2709, 'Eastern Bloc', 3, 5), (2796, 'Western Bloc', 3, 5), (2848, 'Korean War', 3, 5), (2934, 'Korean Armistice Agreement', 3, 5), (2977, 'Ceasefire', 3, 5), (3005, 'Demilitarized zone', 3, 5), (3045, 'Peace treaty', 3, 5), (3169, 'Eastern Bloc', 4, 7), (3210, 'Soviet Union', 4, 7), (3324, 'Nikita Khrushchev', 4, 7), (3401, 'Stalinism', 4, 7), (3417, 'Kim Il-sung', 4, 7), (3587, 'Workers%27 Party of Korea', 4, 7), (3665, 'State ideology', 4, 7), (3869, 'Cold War', 4, 7), (3930, 'Dissolution of the Soviet Union', 4, 7), (4052, 'North Korean famine', 4, 7), (4237, 'Constitution of North Korea', 5, 6), (4288, 'Socialist state', 5, 6), (4312, 'Elections in North Korea', 5, 6), (4389, 'Sham election', 5, 6), (4425, 'Totalitarianism', 5, 6), (4438, 'Dictatorship', 5, 6), (4472, 'North Korean cult of personality', 5, 6), (4503, 'Kim family (North Korea)', 5, 6), (4592, 'Democratic Front for the Reunification of Korea', 5, 6), (4645, 'One-party state', 5, 6), (4735, 'Kimilsungism%E2%80%93Kimjongilism', 5, 6), (4806, 'Means of production', 5, 6), (4857, 'State-owned enterprise', 5, 6), (4883, 'Collective farming', 5, 6), (4928, 'Socialized medicine', 5, 6), (4940, 'State school', 5, 6), (4951, 'Public housing', 5, 6), (4964, 'Agricultural subsidy', 5, 6), (5045, 'Militarism', 6, 8), (5090, 'Korean People%27s Army', 6, 8), (5164, 'North Korea and weapons of mass destruction', 6, 8), (5219, 'List of countries by number of military and paramilitary personnel', 6, 8), (5311, 'Active duty', 6, 8), (5319, 'Military reserve force', 6, 8), (5257, 'Paramilitary', 6, 8), (5538, 'United Nations', 6, 8), (5568, 'Human rights in North Korea', 6, 8), (5742, 'Amnesty International', 6, 8), (5768, 'Human Rights Watch', 6, 8), (5910, 'Non-Aligned Movement', 6, 8), (5932, 'Group of 77', 6, 8), (5945, 'ASEAN Regional Forum', 6, 8)]","['Korea', 'China', 'Russia', 'North', 'South Korea']"
Note-taking,"[(90, 'Information', 0, 0), (242, 'Information retrieval', 0, 1), (407, 'Minutes', 0, 2), (498, 'Writing', 0, 3), (510, 'Literacy', 0, 3), (559, 'Handwriting', 0, 3), (581, 'Notebook', 0, 3), (617, 'Comparison of note-taking software', 0, 3), (729, 'Personal knowledge management', 0, 4)]",['Information']
Occupational inequality,[],[]
Order of magnitude,"[(49, 'Logarithm', 0, 0), (232, 'Logarithmic distribution', 0, 1), (619, 'Binary number', 0, 3), (736, 'Difference (mathematics)', 1, 4), (777, 'Measured', 1, 4), (799, 'Logarithmic scale', 1, 4), (821, 'Decade (log scale)', 1, 4), (917, 'Orders of magnitude (numbers)', 1, 4)]",['Logarithm']
Origami,"[(172, 'Paper art', 1, 0), (957, 'https://ja.wikipedia.org%E6%8A%98%E5%BD%A2', 2, 3), (1100, 'Origami techniques', 3, 5), (1223, 'Paper crane', 3, 5), (1275, 'Square (geometry)', 3, 5), (1423, 'Edo period', 3, 5), (1611, 'Stent', 3, 5), (1619, 'Packaging', 3, 5)]",['Paper art']
Outcome (probability),"[(732, 'Probability theory', 1, 3), (790, 'Experiment (probability theory)', 1, 3), (901, 'Mutually exclusive events', 1, 3), (1052, 'Sample space', 1, 3)]","['Probability theory', 'Experiment (probability theory)', 'Mutually exclusive events']"
PH,"[(527, 'Chemistry', 2, 2), (620, 'Hydrogen', 2, 2), (575, 'Acid', 2, 2), (701, 'Base (chemistry)', 2, 2), (716, 'Aqueous solution', 2, 2), (792, 'Hydrogen ion#Cation (positively charged)', 2, 2), (746, 'Ion', 2, 2), (852, 'Alkali', 2, 2), (888, 'Logarithmic scale', 3, 1), (928, 'Thermodynamic activity', 3, 1), (940, 'Hydronium', 3, 1), (1133, 'Molar concentration', 5, 9), (1153, 'Celsius', 5, 9), (1159, 'Fahrenheit', 5, 9), (1390, 'Pure water', 5, 9), (1575, 'Acid strength', 5, 9), (1630, 'Base (chemistry)#Strong bases', 5, 9), (1663, 'Measurement traceability', 6, 4), (1809, 'Galvanic cell', 6, 4), (1895, 'Hydrogen electrode', 6, 4), (1951, 'Silver chloride electrode', 6, 4), (2029, 'Glass electrode', 6, 4), (2051, 'PH meter', 6, 4), (2081, 'PH indicator', 6, 4), (2139, 'Agronomy', 6, 4)]","['Chemistry', 'Hydrogen', 'Acid', 'Base (chemistry)', 'Aqueous solution']"
Parent function,[],[]
Partial fraction decomposition,"[(3, 'Algebra', 0, 0), (82, 'Rational fraction', 0, 0), (24, 'Fraction (mathematics)', 0, 0), (174, 'Polynomial', 0, 0), (432, 'Algorithm', 1, 2), (473, 'Rational function', 1, 2), (531, 'Antiderivative', 1, 2), (551, 'Taylor series', 1, 2), (578, 'Z-transform', 1, 2), (604, 'Laplace transform', 1, 2), (689, 'Johann Bernoulli', 1, 2), (710, 'Gottfried Leibniz', 1, 2), (1152, 'Denominator', 4, 1), (1176, 'Exponentiation', 4, 1), (1188, 'Irreducible polynomial', 4, 1), (1282, 'Numerator', 4, 1), (1523, 'Square-free polynomial', 5, 3), (1604, 'Polynomial factorization', 5, 3), (1659, 'Square-free factorization', 5, 3), (1751, 'Irrational number', 5, 3), (1826, 'Integer', 5, 3), (1838, 'Rational number', 5, 3)]","['Rational fraction', 'Fraction (mathematics)', 'Polynomial']"
Partial least squares regression,"[(1103, 'Statistics', 1, 3), (1150, 'Principal component regression', 1, 3), (1202, 'Hyperplane', 1, 3), (1225, 'Variance', 1, 3), (1293, 'Linear regression', 1, 3), (1335, 'Predicted variable', 1, 3), (1363, 'Observable variable', 1, 3), (1678, 'Matrix (mathematics)', 2, 6), (1705, 'Latent variable', 2, 6), (1746, 'Covariance', 2, 6), (2066, 'Multicollinearity', 2, 6), (2172, 'Tikhonov regularization', 2, 6), (2251, 'Herman Wold', 3, 6), (2565, 'Chemometrics', 3, 6), (2617, 'Bioinformatics', 3, 6), (2633, 'Sensometrics', 3, 6), (2647, 'Neuroscience', 3, 6), (2665, 'Anthropology', 3, 6)]","['Principal component regression', 'Hyperplane', 'Variance', 'Linear regression', 'Predicted variable']"
Perimeter,"[(25, 'Path (geometry)', 1, 0), (80, 'Two dimensional', 1, 0), (96, 'Shape', 1, 0), (107, 'One-dimensional', 1, 0), (123, 'Length (mathematics)', 1, 0), (150, 'Circle', 1, 1), (163, 'Ellipse', 1, 1), (185, 'Circumference', 1, 1), (437, 'Revolution (geometry)', 2, 4)]","['Path (geometry)', 'Two dimensional', 'Shape', 'One-dimensional', 'Length (mathematics)']"
Piecewise linear function,"[(3, 'Mathematics', 0, 0), (19, 'Statistics', 0, 0), (81, 'Real-valued function', 0, 0), (128, 'Graph of a function', 0, 0)]","['Real-valued function', 'Graph of a function']"
Positive feedback,"[(99, 'Feedback loop', 0, 0), (436, 'Negative feedback', 0, 3), (560, 'Cybernetics', 0, 4), (632, 'Loop gain', 1, 5), (720, 'Phase (waves)', 1, 5), (836, 'Control theory#Stability', 1, 6), (924, 'Exponential growth', 1, 6), (955, 'Oscillation', 1, 6), (969, 'Chaos theory', 1, 6), (1012, 'https://en.wiktionary.orgequilibrium', 1, 6), (1163, 'Latch (electronics)', 1, 6), (1263, 'Filter (signal processing)', 1, 6), (1273, 'Damping ratio', 1, 6), (1284, 'Maxima and minima', 1, 6), (1385, 'Digital electronics', 2, 7), (1499, 'Thermal runaway', 2, 7), (1563, 'P%E2%80%93n junction', 2, 7), (1609, 'Chemical reaction', 2, 7), (1694, 'Explosives', 2, 7), (1752, 'Tipping point (physics)', 2, 7), (1834, 'Miniature snap-action switch', 2, 7), (1847, 'Locking pliers', 2, 7), (1892, 'Tacoma Narrows Bridge (1940)', 2, 7), (1961, 'Business cycle', 2, 7), (2077, 'Audio feedback', 2, 7), (2095, 'Public address', 2, 7)]",['Feedback loop']
Probability measure,"[(721, 'Mathematics', 2, 2), (761, 'Real-valued function', 2, 2), (814, 'Probability space', 2, 2), (748, 'Measure (mathematics)', 2, 2), (1014, 'Area', 2, 2), (1022, 'Volume', 2, 2)]","['Real-valued function', 'Probability space', 'Measure (mathematics)', 'Area', 'Volume']"
Product (mathematics),"[(2347, 'Mathematics', 1, 2), (2387, 'Multiplication', 1, 2), (2409, 'Mathematical expression', 1, 2), (2436, 'Mathematical object', 1, 2), (2456, 'Variable (mathematics)', 1, 2), (2804, 'Real number', 2, 3), (2812, 'Complex number', 2, 3), (2935, 'Matrix (mathematics)', 2, 3), (2972, 'Associative algebra', 2, 3), (3066, 'Matrix multiplication', 2, 3), (3361, 'Algebraic structure', 3, 1)]","['Multiplication', 'Mathematical expression', 'Variable (mathematics)']"
Production function,"[(3, 'Economics', 0, 0), (197, 'Mainstream economics', 0, 1), (208, 'Neoclassical economics', 0, 1), (246, 'Marginal product', 0, 1), (282, 'Allocative efficiency', 0, 1), (920, 'Macroeconomics', 2, 4), (971, 'Regression analysis', 2, 4), (1039, 'Economic growth', 2, 4), (1126, 'Physical capital', 2, 4), (1183, 'Technology', 2, 4), (1201, 'Heterodox economics', 2, 4)]",['Economics']
Proportionality (mathematics),"[(3, 'Mathematics', 0, 0), (20, 'Sequence', 0, 0), (48, 'Experimental data', 0, 0), (148, 'Constant (mathematics)', 0, 0), (157, 'Ratio', 0, 0), (569, 'Variable (mathematics)', 1, 2), (671, 'Function (mathematics)', 2, 1), (862, 'Constant function', 2, 1), (963, 'Equation', 3, 4), (1077, 'Ratio', 3, 4)]","['Sequence', 'Experimental data', 'Constant (mathematics)', 'Ratio']"
Q,"[(719, 'Letter (alphabet)', 3, 2), (733, 'Latin alphabet', 3, 2), (761, 'English alphabet', 3, 2), (923, 'English alphabet#Letter names', 3, 2)]","['Letter (alphabet)', 'Latin alphabet', 'English alphabet', 'English alphabet#Letter names']"
Quadratic function,"[(3, 'Mathematics', 0, 0), (28, 'Polynomial', 0, 0), (123, 'Polynomial function', 0, 1), (485, 'Univariate', 1, 0), (674, 'Graph of a function', 3, 2), (720, 'Parabola', 3, 2), (732, 'Curve', 3, 2), (750, 'Axis of symmetry', 3, 2), (818, 'Equation', 4, 2), (858, 'Quadratic equation', 4, 2), (925, 'Zero of a function', 4, 2), (976, 'Bivariate function', 5, 0), (1332, 'Conic section', 7, 2), (1349, 'Circle', 7, 2), (1365, 'Ellipse', 7, 2), (1376, 'Parabola', 7, 2), (1391, 'Hyperbola', 7, 2), (1734, 'Coefficient', 10, 1), (1904, 'Quadric', 11, 2), (1924, 'Surface (geometry)', 11, 2), (1969, 'Hypersurface', 11, 2)]",['Polynomial']
Quadrature (mathematics),"[(3, 'Mathematics', 0, 0), (87, 'Area', 0, 0), (144, 'Differential equation', 0, 1), (281, 'Antiderivative', 0, 1), (380, 'Calculus', 1, 1), (424, 'Mathematical analysis', 1, 1)]",['Area']
Quotient ring,"[(2072, 'Ring theory', 1, 4), (2097, 'Abstract algebra', 1, 4), (2240, 'Quotient group', 1, 4), (2258, 'Group theory', 1, 4), (2282, 'Quotient space (linear algebra)', 1, 4), (2300, 'Linear algebra', 1, 4), (2117, 'Quotient (universal algebra)', 1, 4), (2400, 'Universal algebra', 1, 4), (2072, 'Ring (mathematics)', 1, 4), (2448, 'Two-sided ideal', 1, 4), (2548, 'Cosets', 1, 4), (2614, 'Fraction slash', 1, 4), (2685, 'Fraction bar', 1, 4), (2768, 'Field of fractions', 2, 1), (2794, 'Integral domain', 2, 1), (2876, 'Localization of a ring', 2, 1)]","['Ring theory', 'Abstract algebra', 'Quotient group', 'Group theory', 'Quotient space (linear algebra)']"
Quotient rule,"[(1758, 'Calculus', 1, 3), (1813, 'Derivative', 1, 3), (1829, 'Function (mathematics)', 1, 3), (2314, 'Differentiation rules', 3, 1)]","['Calculus', 'Derivative', 'Function (mathematics)']"
Radical extension,"[(3, 'Mathematics', 0, 0), (40, 'Field theory (mathematics)', 0, 0), (40, 'Field (mathematics)', 0, 0), (64, 'Field extension', 0, 0), (152, 'Nth root', 0, 0)]","['Field theory (mathematics)', 'Field (mathematics)', 'Field extension', 'Nth root']"
Radical symbol,"[(42, 'Mathematical notation', 0, 0), (98, 'Square root', 0, 0), (113, 'Nth root', 0, 0), (477, 'Radical of an ideal', 4, 1), (501, 'Linguistics', 5, 1), (545, 'Root word', 5, 1)]","['Mathematical notation', 'Square root', 'Nth root']"
Radiometric dating,"[(95, 'Chronological dating', 0, 0), (118, 'Rock (geology)', 0, 0), (127, 'Carbon', 0, 0), (162, 'Impurity', 0, 0), (285, 'Radionuclide', 0, 1), (349, 'Radioactive decay', 0, 1), (475, 'Bertram Boltwood', 0, 2), (552, 'Absolute dating', 0, 2), (584, 'Geology', 0, 2), (626, 'Paleontology', 0, 2), (655, 'Age of Earth', 0, 2), (733, 'Artifact (archaeology)', 0, 2), (767, 'Stratigraphy', 1, 4), (832, 'Geochronology', 1, 4), (863, 'Geologic time scale', 1, 4), (923, 'Radiocarbon dating', 1, 4), (943, 'Potassium%E2%80%93argon dating', 1, 4), (970, 'Uranium%E2%80%93lead dating', 1, 4), (1113, 'Fossil', 1, 4), (1146, 'Evolution', 1, 4), (1207, 'Archaeology', 1, 4)]","['Chronological dating', 'Rock (geology)', 'Carbon', 'Impurity']"
Radius,"[(13, 'Geometry', 0, 0), (33, 'Plural', 0, 0), (49, 'Circle', 0, 0), (59, 'Sphere', 0, 0), (80, 'Line segment', 0, 0), (103, 'Centre (geometry)', 0, 0), (117, 'Perimeter', 0, 0), (203, 'Latin', 0, 1), (413, 'Variable (mathematics)', 0, 3), (480, 'Diameter', 0, 4), (722, 'Circumscribed circle', 2, 4), (746, 'Circumscribed sphere', 2, 4), (923, 'Inradius', 2, 4), (1114, 'Regular polygon', 3, 3), (1229, 'Apothem', 3, 3), (1241, 'Graph theory', 3, 3), (1259, 'Radius (graph theory)', 3, 3), (1410, 'Perimeter', 4, 0), (1421, 'Circumference', 4, 0)]","['Plural', 'Circle', 'Sphere', 'Line segment', 'Centre (geometry)']"
Ramp function,"[(23, 'Unary function', 0, 0), (29, 'Real function', 0, 0), (50, 'Graph of a function', 0, 0), (4, 'Ramp', 0, 0), (111, '#Definitions', 0, 1), (271, 'Scaling and shifting', 0, 2), (433, 'Positive part', 1, 1), (451, 'Machine learning', 2, 2), (495, 'Rectifier (neural networks)', 2, 2), (500, 'Activation function', 2, 2), (531, 'Rectifier (neural networks)', 2, 2), (555, 'Half-wave rectification', 2, 2), (582, 'Electrical engineering', 2, 2), (611, 'Statistics', 2, 2), (638, 'Likelihood function', 2, 2), (676, 'Tobit model', 2, 2), (716, '#Applications', 3, 2), (824, 'Rectifier (neural networks)#Other non-linear variants', 3, 2)]","['Unary function', 'Real function', 'Graph of a function', 'Ramp']"
Rate (mathematics),"[(3, 'Mathematics', 0, 0), (30, 'Ratio', 0, 0), (56, 'Quantity', 0, 0), (263, 'Independent variable', 0, 3), (374, 'Dependent variable', 0, 3), (453, 'Speed', 1, 2), (460, 'Heart rate', 1, 2), (476, 'Flux', 1, 2), (530, 'Exchange rate', 1, 2), (546, 'Literacy rate', 1, 2), (566, 'Electric field', 1, 2), (749, 'Heart rate', 2, 2), (621, 'Units of measurement', 2, 2), (857, 'Tax rate', 2, 2), (887, 'Literacy rate', 2, 2), (919, 'Dimensionless quantity', 2, 2), (971, 'Percentage', 2, 2), (887, 'Literacy rate', 2, 2), (1039, 'Fraction (mathematics)', 2, 2), (1052, 'Multiple (mathematics)', 2, 2), (1089, 'Rhythm', 3, 5), (1099, 'Frequency', 3, 5), (1136, 'Hertz', 3, 5), (1150, 'Radio frequencies', 3, 5), (1169, 'Heart rate', 3, 5), (1185, 'Sample rate', 3, 5)]","['Ratio', 'Quantity']"
Rational function,"[(4, 'Mathematics', 1, 0), (28, 'Function (mathematics)', 1, 0), (109, 'Algebraic fraction', 1, 0), (147, 'Numerator', 1, 0), (165, 'Denominator', 1, 0), (181, 'Polynomial', 1, 0), (198, 'Coefficient', 1, 1), (242, 'Rational number', 1, 1), (285, 'Field (mathematics)', 1, 1), (392, 'Variable (mathematics)', 1, 3), (453, 'Domain (function)', 1, 4), (565, 'Codomain', 1, 4), (641, 'Field of fractions', 2, 1), (667, 'Ring (mathematics)', 2, 1), (679, 'Polynomial function', 2, 1)]","['Function (mathematics)', 'Algebraic fraction', 'Numerator', 'Denominator', 'Polynomial']"
Reciprocal gamma function,"[(4, 'Mathematics', 1, 0), (38, 'Special function', 1, 0), (167, 'Gamma function', 3, 2), (211, 'Meromorphic function', 3, 2), (253, 'Complex plane', 3, 2), (289, 'Entire function', 3, 2), (639, 'Numerical analysis', 4, 1), (768, 'Karl Weierstrass', 5, 1), (878, 'Weierstrass factorization theorem', 5, 1)]",['Special function']
Reflectance,"[(36, 'Material', 0, 0), (69, 'Reflection (physics)', 0, 0), (80, 'Radiant energy', 0, 0), (234, 'Electronic structure', 0, 2), (360, 'Wavelength', 0, 2), (412, 'Angle of incidence (optics)', 0, 2)]","['Material', 'Reflection (physics)', 'Radiant energy']"
Regression analysis,"[(2994, 'Statistical model', 2, 9), (3074, 'Estimation theory', 2, 9), (3113, 'Dependent variable', 2, 9), (3243, 'Independent variable', 2, 9), (3394, 'Linear regression', 2, 9), (3460, 'Linear combination', 2, 9), (3587, 'Ordinary least squares', 2, 9), (3639, 'Hyperplane', 2, 9), (3394, 'Linear regression', 2, 9), (3852, 'Conditional expectation', 2, 9), (3891, 'Average value', 2, 9), (4084, 'Location parameters', 2, 9), (4111, 'Quantile regression', 2, 9), (4263, 'Nonparametric regression', 2, 9), (4414, 'Prediction', 4, 1), (4429, 'Forecasting', 4, 1), (4498, 'Machine learning', 4, 1), (4584, 'Causality', 5, 4), (5165, 'Observational study', 5, 4)]","['Statistical model', 'Estimation theory', 'Dependent variable', 'Independent variable', 'Linear combination']"
